id,password,username,email
1,12345,Lausanne_Waadt_admin,mail_lausanne@waadt.ch
2,12345,Jouxtens-Mézery_Waadt_admin,mail_jouxtens-mézery@waadt.ch
3,12345,Prilly_Waadt_admin,mail_prilly@waadt.ch
4,12345,Pully_Waadt_admin,mail_pully@waadt.ch
5,12345,Renens_VD_Waadt_admin,mail_renens_vd@waadt.ch
6,12345,Chavannes-près-Renens_Waadt_admin,mail_chavannes-près-renens@waadt.ch
7,12345,Crissier_Waadt_admin,mail_crissier@waadt.ch
8,12345,Ecublens_VD_Waadt_admin,mail_ecublens_vd@waadt.ch
9,12345,St-Sulpice_VD_Waadt_admin,mail_st-sulpice_vd@waadt.ch
10,12345,Denges_Waadt_admin,mail_denges@waadt.ch
11,12345,Echandens_Waadt_admin,mail_echandens@waadt.ch
12,12345,Lonay_Waadt_admin,mail_lonay@waadt.ch
13,12345,Préverenges_Waadt_admin,mail_préverenges@waadt.ch
14,12345,Villars-Ste-Croix_Waadt_admin,mail_villars-ste-croix@waadt.ch
15,12345,Bussigny-près-Lausanne_Waadt_admin,mail_bussigny-près-lausanne@waadt.ch
16,12345,Mex_VD_Waadt_admin,mail_mex_vd@waadt.ch
17,12345,Romanel-sur-Lausanne_Waadt_admin,mail_romanel-sur-lausanne@waadt.ch
18,12345,Cheseaux-sur-Lausanne_Waadt_admin,mail_cheseaux-sur-lausanne@waadt.ch
19,12345,Boussens_Waadt_admin,mail_boussens@waadt.ch
20,12345,Bournens_Waadt_admin,mail_bournens@waadt.ch
21,12345,Sullens_Waadt_admin,mail_sullens@waadt.ch
22,12345,Etagnières_Waadt_admin,mail_etagnières@waadt.ch
23,12345,Bercher_Waadt_admin,mail_bercher@waadt.ch
24,12345,St-Barthélemy_VD_Waadt_admin,mail_st-barthélemy_vd@waadt.ch
25,12345,Villars-le-Terroir_Waadt_admin,mail_villars-le-terroir@waadt.ch
26,12345,Echallens_Waadt_admin,mail_echallens@waadt.ch
27,12345,Dommartin_Waadt_admin,mail_dommartin@waadt.ch
28,12345,Poliez-Pittet_Waadt_admin,mail_poliez-pittet@waadt.ch
29,12345,Bottens_Waadt_admin,mail_bottens@waadt.ch
30,12345,Naz_Waadt_admin,mail_naz@waadt.ch
31,12345,Montaubion-Chardonney_Waadt_admin,mail_montaubion-chardonney@waadt.ch
32,12345,Poliez-le-Grand_Waadt_admin,mail_poliez-le-grand@waadt.ch
33,12345,Bettens_Waadt_admin,mail_bettens@waadt.ch
34,12345,Bioley-Orjulaz_Waadt_admin,mail_bioley-orjulaz@waadt.ch
35,12345,Assens_Waadt_admin,mail_assens@waadt.ch
36,12345,Sugnens_Waadt_admin,mail_sugnens@waadt.ch
37,12345,Fey_Waadt_admin,mail_fey@waadt.ch
38,12345,Ogens_Waadt_admin,mail_ogens@waadt.ch
39,12345,Rueyres_Waadt_admin,mail_rueyres@waadt.ch
40,12345,Oppens_Waadt_admin,mail_oppens@waadt.ch
41,12345,Le_Mont-sur-Lausanne_Waadt_admin,mail_le_mont-sur-lausanne@waadt.ch
