id,postalCode,street,language,user_id
1,1000,Industriestrasse 24,FR,1
2,1008,Bahnhofstrasse 87,IT,2
3,1008,Place de l'hôtel 57,DE,3
4,1009,Marktgasse 17,DE,4
5,1020,Usterstrasse 33,FR,5
6,1022,Rue de la Croix-Rouge 16,IT,6
7,1023,Bärenplatz 64,FR,7
8,1024,Marktgasse 39,FR,8
9,1025,Poststrasse 33,IT,9
10,1026,Marktgasse 36,FR,10
11,1026,Via Trevano 17,FR,11
12,1027,Rue de la Croix-Rouge 59,FR,12
13,1028,Place de l'hôtel 41,FR,13
14,1029,Usterstrasse 75,IT,14
15,1030,Industriestrasse 47,FR,15
16,1031,Rue de la Croix-Rouge 10,FR,16
17,1032,Poststrasse 68,DE,17
18,1033,Bärenplatz 64,IT,18
19,1034,Piazza Riforma 87,DE,19
20,1035,Via Trevano 11,DE,20
21,1036,Zürcherstrasse 53,DE,21
22,1037,Rue du Château 84,DE,22
23,1038,Zürcherstrasse 58,IT,23
24,1040,Dufourstrasse 7,DE,24
25,1040,Zürcherstrasse 19,FR,25
26,1040,Place de l'hôtel 89,FR,26
27,1041,Via Trevano 34,IT,27
28,1041,Tellstrasse 52,FR,28
29,1041,Rue de l'hôpital 49,IT,29
30,1041,Piazza Riforma 32,DE,30
31,1041,Rue de la Croix-Rouge 79,IT,31
32,1041,Bärenplatz 78,DE,32
33,1042,Tellstrasse 25,FR,33
34,1042,Hirschengraben 76,IT,34
35,1042,Morgartenstrasse 91,DE,35
36,1043,Rue de l'hôpital 50,DE,36
37,1044,Tellstrasse 92,FR,37
38,1045,Rue de la Croix-Rouge 2,IT,38
39,1046,Place de l'hôtel 41,IT,39
40,1047,Hirschengraben 3,IT,40
41,1052,Place de l'hôtel 3,DE,41
42,1053,Tellstrasse 67,FR,42
43,1053,Piazza Riforma 1,IT,43
44,1054,Zürcherstrasse 7,DE,44
45,1055,Tellstrasse 82,DE,45
46,1058,Piazza Riforma 8,FR,46
47,1059,Morgartenstrasse 72,DE,47
48,1061,Zürcherstrasse 56,FR,48
49,1062,Bärenplatz 31,FR,49
50,1063,Tellstrasse 26,FR,50
51,1063,Place de l'hôtel 20,IT,51
52,1063,Bärenplatz 35,FR,52
53,1063,Piazza Riforma 24,DE,53
54,1066,Industriestrasse 39,IT,54
55,1068,Via Trevano 7,FR,55
56,1070,Place de l'hôtel 35,DE,56
57,1071,Dufourstrasse 35,FR,57
58,1071,Place de l'hôtel 79,IT,58
59,1071,Marktplatz 69,IT,59
60,1072,Zürcherstrasse 49,FR,60
61,1073,Via Trevano 61,IT,61
62,1073,Rue du Château 86,FR,62
63,1076,Dufourstrasse 24,DE,63
64,1077,Poststrasse 25,FR,64
65,1078,Morgartenstrasse 61,FR,65
66,1080,Morgartenstrasse 21,IT,66
67,1081,Zürcherstrasse 49,IT,67
68,1082,Morgartenstrasse 4,IT,68
69,1083,Morgartenstrasse 47,DE,69
70,1084,Marktgasse 53,FR,70
71,1085,Morgartenstrasse 89,FR,71
72,1088,Via Trevano 60,FR,72
73,1090,Hirschengraben 13,DE,73
74,1091,Marktplatz 24,FR,74
75,1091,Marktgasse 79,FR,75
76,1091,Rue de la Croix-Rouge 57,IT,76
77,1092,Marktplatz 96,FR,77
78,1093,Rue du Château 13,DE,78
79,1094,Marktplatz 56,DE,79
80,1095,Winkelriedstrasse 36,IT,80
81,1096,Bahnhofstrasse 7,FR,81
82,1096,Dufourstrasse 6,IT,82
83,1097,Zürcherstrasse 17,IT,83
84,1098,Marktgasse 36,FR,84
85,1110,Rue de l'hôpital 5,FR,85
86,1112,Marktgasse 54,FR,86
87,1113,Bärenplatz 52,FR,87
88,1114,Rue du Château 40,FR,88
89,1115,Poststrasse 25,IT,89
90,1116,Poststrasse 52,FR,90
91,1117,Rue de la Croix-Rouge 44,IT,91
92,1121,Zürcherstrasse 17,FR,92
93,1122,Piazza Riforma 99,DE,93
94,1123,Rue de la Croix-Rouge 71,DE,94
95,1124,Poststrasse 54,DE,95
96,1125,Piazza Riforma 31,FR,96
97,1126,Industriestrasse 97,FR,97
98,1127,Via Trevano 5,IT,98
99,1128,Rue du Château 94,IT,99
100,1131,Poststrasse 80,FR,100
101,1132,Marktgasse 44,FR,101
102,1134,Winkelriedstrasse 22,IT,102
103,1134,Zürcherstrasse 70,FR,103
104,1135,Marktgasse 93,FR,104
105,1136,Usterstrasse 5,DE,105
106,1141,Morgartenstrasse 63,IT,106
107,1142,Bahnhofstrasse 90,DE,107
108,1143,Piazza Riforma 48,IT,108
109,1144,Rue du Château 59,DE,109
110,1145,Marktgasse 8,FR,110
111,1146,Winkelriedstrasse 2,FR,111
112,1147,Rue de l'hôpital 91,FR,112
113,1148,Piazza Riforma 7,DE,113
114,1148,Tellstrasse 41,IT,114
115,1148,Industriestrasse 14,FR,115
116,1148,Winkelriedstrasse 60,IT,116
117,1148,Bärenplatz 40,DE,117
118,1148,Via Trevano 54,FR,118
119,1148,Zürcherstrasse 52,IT,119
120,1148,Via Trevano 74,IT,120
121,1148,Zürcherstrasse 33,DE,121
122,1149,Rue de l'hôpital 65,DE,122
123,1162,Bärenplatz 27,FR,123
124,1163,Rue de la Croix-Rouge 94,IT,124
125,1164,Rue du Château 27,FR,125
126,1165,Industriestrasse 67,IT,126
127,1166,Rue de l'hôpital 47,IT,127
128,1167,Marktgasse 86,FR,128
129,1168,Marktgasse 5,DE,129
130,1169,Marktgasse 86,FR,130
131,1170,Usterstrasse 33,FR,131
132,1172,Zürcherstrasse 70,FR,132
133,1173,Zürcherstrasse 21,DE,133
134,1174,Via Trevano 21,FR,134
135,1174,Rue de la Croix-Rouge 50,IT,135
136,1175,Zürcherstrasse 50,DE,136
137,1176,Industriestrasse 37,FR,137
138,1180,Via Trevano 58,FR,138
139,1180,Marktplatz 66,DE,139
140,1182,Rue du Château 27,DE,140
141,1183,Usterstrasse 91,IT,141
142,1184,Werdstrasse 96,DE,142
143,1184,Morgartenstrasse 46,IT,143
144,1185,Poststrasse 26,FR,144
145,1186,Bärenplatz 9,DE,145
146,1187,Via Trevano 76,IT,146
147,1188,Rue du Château 26,IT,147
148,1188,Marktplatz 6,FR,148
149,1189,Rue du Château 39,DE,149
150,1195,Piazza Riforma 43,IT,150
151,1195,Piazza Riforma 58,DE,151
152,1196,Dufourstrasse 48,DE,152
153,1197,Hirschengraben 58,FR,153
154,1200,Poststrasse 54,FR,154
155,1212,Usterstrasse 13,DE,155
156,1213,Dufourstrasse 64,DE,156
157,1213,Bahnhofstrasse 34,IT,157
158,1214,Usterstrasse 95,IT,158
159,1215,Marktgasse 73,DE,159
160,1216,Rue de l'hôpital 59,FR,160
161,1217,Industriestrasse 38,DE,161
162,1218,Via Trevano 70,DE,162
163,1219,Bärenplatz 57,DE,163
164,1219,Bahnhofstrasse 39,FR,164
165,1219,Place de l'hôtel 10,IT,165
166,1220,Werdstrasse 22,DE,166
167,1222,Rue de l'hôpital 72,FR,167
168,1223,Morgartenstrasse 5,FR,168
169,1224,Rue du Château 6,IT,169
170,1225,Via Trevano 73,DE,170
171,1226,Bärenplatz 28,DE,171
172,1227,Hirschengraben 67,IT,172
173,1227,Rue de la Croix-Rouge 22,IT,173
174,1228,Via Trevano 36,FR,174
175,1231,Bahnhofstrasse 16,FR,175
176,1232,Marktplatz 48,DE,176
